word,onset,offset
i,8.71,8.840000000000002
began,8.990000000000002,9.070000000000002
my,9.070000000000002,9.240000000000002
illustrious,9.63,10.08
career,10.08,10.62
as,10.62,10.76
a,10.82,10.94
hard,10.969999,11.339999
boiled,11.34,11.65
reporter,11.65,12.33
in,12.42,12.51
the,12.509999,12.609999
bronx,12.61,13.15
where,13.36,13.59
i,13.59,13.92
toiled,14.219999,14.579999
for,14.599999,14.759999
the,14.759999,14.889999
ram,14.9,15.38
uh,16.379999,16.719999
fordham,16.74,17.09
university's,17.09,17.919999999999998
student,18.119999,18.429999
newspaper,18.469999,19.269999
and,19.55,19.71
one,19.71,19.880000000000003
day,19.88,20.15
i'm,20.15,20.31
walking,20.31,20.72
toward,20.72,20.94
the,20.94,21.040000000000003
campus,21.12,21.48
center,21.48,21.76
and,21.76,21.92
out,21.95,22.18
comes,22.18,22.38
the,22.41,22.54
elusive,22.54,23.17
dean,23.6,23.97
McGowan,23.98,24.7
architect,25.34,25.87
of,25.87,25.98
a,25.98,26.06
policy,26.059999,26.599999
to,26.630000000000003,26.74
replace,26.74,27.35
traditionally,27.51,28.24
the,29.0,29.25
Fordham’s,29.309999,29.369999
traditionally,30.349999,30.889999
working,30.889999,31.589999
to,31.599999,31.809999
middle,31.82,32.02
class,32.02,32.31999999999999
students,32.33,32.629999999999995
with,33.17,33.46
wealthier,33.549999,34.329999
more,34.629999,34.799999
prestigious,34.799999,35.389999
ones,35.43,35.64
so,36.27,36.38999999999999
i,36.389999,36.489999000000005
whip,36.54,36.78
out,36.78,36.94
my,36.94,37.13
notebook,37.13,37.54
and,37.54,37.67
i,37.67,37.870000000000005
march,37.94,38.29
right,38.29,38.47
up,38.48,38.6
to,38.61,38.74
him,38.74,38.88
i,39.05,39.09
say,39.09,39.330000000000005
,,
McGowan,40.2,40.74
is,40.88,41.0
it,41.0,41.15
true,41.2,41.49
that,41.49,41.71
fordham,41.74,42.2
plans,42.26,42.67
to,42.67,42.83
raise,42.83,43.15
tuition,43.15,43.51
substantially,43.54,44.28
above,44.28,44.49
